BeneficialOwnership_Label,Antigua and Barbuda_Number_of_ships_Value,Bahamas_Number_of_ships_Value,Barbados_Number_of_ships_Value,China_Number_of_ships_Value,"China, Hong Kong SAR_Number_of_ships_Value",Cyprus_Number_of_ships_Value,Denmark_Number_of_ships_Value,Germany_Number_of_ships_Value,Greece_Number_of_ships_Value,India_Number_of_ships_Value,Indonesia_Number_of_ships_Value,Iran (Islamic Republic of)_Number_of_ships_Value,Italy_Number_of_ships_Value,Japan_Number_of_ships_Value,Liberia_Number_of_ships_Value,Malta_Number_of_ships_Value,Marshall Islands_Number_of_ships_Value,Norway_Number_of_ships_Value,Panama_Number_of_ships_Value,Portugal_Number_of_ships_Value,Republic of Korea_Number_of_ships_Value,Russian Federation_Number_of_ships_Value,Saudi Arabia_Number_of_ships_Value,Singapore_Number_of_ships_Value,United Kingdom_Number_of_ships_Value,United Republic of Tanzania_Number_of_ships_Value,United States_Number_of_ships_Value,National flag_Number_of_ships_Value,Foreign flag_Number_of_ships_Value,Total all flags_Number_of_ships_Value
"World",,1319,,4931,2427,972,493,,744,936,2353,270,,938,3680,2082,3598,1029,6545,534,806,,153,2591,801,,,24860,27846,53509
"Africa",,28,,0,11,4,0,,0,0,0,0,,0,27,11,11,1,81,0,0,,4,11,2,,,474,366,857
"Americas",,298,,0,112,33,9,,1,0,3,0,,0,198,54,577,14,291,2,1,,0,35,69,,,1878,2160,4068
"Asia",,244,,4890,2097,183,14,,13,888,2316,259,,930,962,432,1142,20,4984,34,797,,148,2024,115,,,16142,12646,28945
"Europe",,737,,0,190,749,467,,722,5,16,3,,3,2481,1582,1854,991,1109,494,3,,1,494,608,,,6205,12532,18758
"Oceania",,10,,1,10,0,0,,2,0,1,0,,0,2,3,10,0,24,1,0,,0,24,4,,,161,142,307
"Individual economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia and Oceania",,254,,4891,2107,183,14,,15,888,2317,259,,930,964,435,1152,20,5008,35,797,,148,2048,119,,,16303,12788,29252
"Northern America and Europe",,998,,0,299,779,476,,723,5,19,3,,3,2649,1631,2407,1003,1202,496,3,,1,528,673,,,7246,14296,21572
"Europe, Northern America, Australia and New Zealand",,1007,,1,309,779,476,,723,5,19,3,,3,2650,1634,2413,1003,1210,497,3,,1,552,677,,,7330,14384,21746
"Central and Southern Asia",,2,,0,1,10,0,,0,877,1,246,,2,5,4,28,0,62,0,0,,0,26,0,,,1338,225,1567
"Eastern and South-Eastern Asia",,154,,4889,2078,17,14,,1,10,2315,2,,928,734,102,783,17,4310,27,796,,4,1958,99,,,13634,9683,23451
"Western Asia and Northern Africa",,92,,1,20,156,0,,12,1,0,11,,0,233,333,332,3,662,7,1,,148,40,16,,,1343,2904,4274
"Developing economies",,181,,4889,2034,38,13,,14,888,2308,259,,5,733,420,658,19,2786,30,6,,152,1874,78,,,15670,9417,25272
"Developing economies: Africa",,28,,0,11,4,0,,0,0,0,0,,0,27,11,11,1,81,0,0,,4,11,2,,,474,366,857
"Developing economies: Americas",,37,,0,3,3,0,,0,0,0,0,,0,30,5,24,2,198,0,1,,0,1,4,,,837,396,1254
"Developing economies: Asia and Oceania",,116,,4889,2020,31,13,,14,888,2308,259,,5,676,404,623,16,2507,30,5,,148,1862,72,,,14359,8655,23161
"Developed economies",,1136,,2,386,931,477,,724,5,28,3,,928,2937,1662,2936,1007,3703,501,795,,1,714,720,,,9190,18429,27663
"Developed economies: Americas",,261,,0,109,30,9,,1,0,3,0,,0,168,49,553,12,93,2,0,,0,34,65,,,1041,1764,2814
"Developed economies: Asia and Oceania",,138,,2,87,152,1,,1,0,9,0,,925,288,31,529,4,2501,5,792,,0,186,47,,,1944,4133,6091
"Developed economies: Europe",,737,,0,190,749,467,,722,5,16,3,,3,2481,1582,1854,991,1109,494,3,,1,494,608,,,6205,12532,18758
"Developing economies excluding China",,171,,36,1109,35,5,,14,887,2303,258,,4,624,391,579,15,2146,22,5,,152,1791,61,,,10817,7123,18083
"Developing economies excluding LDCs",,161,,4889,2034,35,13,,14,888,2308,259,,5,724,417,650,18,2771,30,6,,152,1873,78,,,15427,9315,24918
"LDCs (Least developed countries)",,20,,0,0,3,0,,0,0,0,0,,0,9,3,8,1,15,0,0,,0,1,0,,,243,102,354
"LDCs: Africa",,20,,0,0,3,0,,0,0,0,0,,0,8,3,1,1,8,0,0,,0,1,0,,,55,72,130
"LDCs: Asia",,0,,0,0,0,0,,0,0,0,0,,0,1,0,7,0,6,0,0,,0,0,0,,,185,28,219
"LDCs: Islands and Haiti",,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,0,,,3,2,5
"LLDCs (Landlocked developing countries)",,0,,0,0,2,0,,0,0,0,0,,0,0,1,2,0,2,0,0,,0,0,0,,,215,22,240
"SIDS (Small island developing States) (UN-OHRLLS)",,143,,1,199,8,6,,3,5,95,0,,0,324,69,301,18,358,1,0,,1,1512,82,,,1643,2051,3725
"SIDS: Atlantic and Indian Ocean",,107,,0,59,1,1,,0,0,2,0,,0,70,19,149,7,28,0,0,,0,25,50,,,33,534,567
"SIDS: Caribbean",,17,,0,0,2,0,,0,0,0,0,,0,2,2,4,1,23,0,0,,0,0,0,,,45,94,143
"SIDS: Pacific",,19,,1,140,5,5,,3,5,93,0,,0,252,48,148,10,307,1,0,,1,1487,32,,,1565,1423,3015
"BRICS",,83,,4856,945,45,8,,1,879,2194,259,,4,337,68,223,6,1061,8,2,,13,145,23,,,10124,4014,14213
"European Union (2020 …)",,391,,0,129,766,453,,702,4,7,0,,1,1860,1273,1347,47,691,414,2,,0,365,192,,,3459,9145,12614
"G20 (Group of Twenty)",,484,,4857,1105,285,32,,11,879,2210,8,,932,1571,804,1372,30,3717,329,793,,141,435,490,,,14514,13048,27647
"G-77 (Group of 77)",,163,,4864,1090,34,13,,13,886,2305,258,,4,517,112,481,18,1777,9,4,,151,1689,55,,,14017,6568,20747
"OECD (Organisation for Economic Cooperation and Development)",,992,,2,325,752,467,,709,5,24,0,,928,2648,1773,2605,993,3813,500,793,,2,679,652,,,8021,17600,25658
