Economy_Label,1980_Number_of_ships_Value,1981_Number_of_ships_Value,1982_Number_of_ships_Value,1983_Number_of_ships_Value,1984_Number_of_ships_Value,1985_Number_of_ships_Value,1986_Number_of_ships_Value,1987_Number_of_ships_Value,1988_Number_of_ships_Value,1989_Number_of_ships_Value,1990_Number_of_ships_Value,1991_Number_of_ships_Value,1992_Number_of_ships_Value,1993_Number_of_ships_Value,1994_Number_of_ships_Value,1995_Number_of_ships_Value,1996_Number_of_ships_Value,1997_Number_of_ships_Value,1998_Number_of_ships_Value,1999_Number_of_ships_Value,2000_Number_of_ships_Value,2001_Number_of_ships_Value,2002_Number_of_ships_Value,2003_Number_of_ships_Value,2004_Number_of_ships_Value,2005_Number_of_ships_Value,2006_Number_of_ships_Value,2007_Number_of_ships_Value,2008_Number_of_ships_Value,2009_Number_of_ships_Value,2010_Number_of_ships_Value,2011_Number_of_ships_Value,2012_Number_of_ships_Value,2013_Number_of_ships_Value,2014_Number_of_ships_Value,2015_Number_of_ships_Value,2016_Number_of_ships_Value,2017_Number_of_ships_Value,2018_Number_of_ships_Value,2019_Number_of_ships_Value,2020_Number_of_ships_Value,2021_Number_of_ships_Value,2022_Number_of_ships_Value,2023_Number_of_ships_Value,2024_Number_of_ships_Value,2025_Number_of_ships_Value,2026_Number_of_ships_Value
"World",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83282,84709,86667,87949,90470,92095,93518,95650,97133,100148,102172,104827,107744,110094,112782,115649
"Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5525,5639,5987,6056,6250,6406,6646,6881,7183,7607,8043,8532,9325,9938,10601,11358
"Americas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21020,20846,20808,20546,20459,20562,20499,20388,20314,20458,20439,20453,20666,20773,21516,21605
"Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35108,35918,37498,38559,39845,40564,41851,43753,44802,46761,48028,49933,51550,53389,54312,55706
"Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17104,17611,17325,17240,17342,17543,17548,17608,17619,17754,17849,17713,17372,16918,17231,17534
"Oceania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3368,3554,3880,4167,4650,5050,5455,5738,5783,5976,6112,6432,6770,6996,6961,7122
"Individual economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia and Oceania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38476,39472,41378,42726,44495,45614,47306,49491,50585,52737,54140,56365,58320,60385,61273,62828
"Northern America and Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21351,21893,21621,21513,21672,21915,21971,22074,22072,22232,22245,22050,21729,21179,21499,21819
"Europe, Northern America, Australia and New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21925,22475,22237,22131,22311,22561,22633,22748,22755,22929,22959,22773,22464,21913,22243,22584
"Central and Southern Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,2519,2836,2928,3001,3067,3193,3287,3334,3576,3657,3721,3844,3913,3984,4059
"Eastern and South-Eastern Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28211,28991,30261,31288,32395,32997,34171,35947,37024,38714,39965,41828,43291,44991,45766,46956
"Western Asia and Northern Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5131,5146,5139,5083,5218,5268,5250,5283,5219,5255,5217,5213,5253,5309,5399,5535
"Developing economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52096,53068,55238,56311,58058,59337,61387,63700,64903,67039,69161,71853,74847,77826,80048,82334
"Developing economies: Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5525,5639,5987,6056,6250,6406,6646,6881,7183,7607,8043,8532,9325,9938,10601,11358
"Developing economies: Americas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16773,16564,16512,16273,16129,16190,16076,15922,15861,15980,16043,16116,16309,16512,17248,17320
"Developing economies: Asia and Oceania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29798,30865,32739,33982,35679,36741,38665,40897,41859,43452,45075,47205,49213,51376,52199,53656
"Developed economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30029,30500,30260,30257,30488,30788,30612,30668,30798,31517,31310,31210,30836,30188,30573,30991
"Developed economies: Americas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247,4282,4296,4273,4330,4372,4423,4466,4453,4478,4396,4337,4357,4261,4268,4285
"Developed economies: Asia and Oceania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8678,8607,8639,8744,8816,8873,8641,8594,8726,9285,9065,9160,9107,9009,9074,9172
"Developed economies: Europe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17104,17611,17325,17240,17342,17543,17548,17608,17619,17754,17849,17713,17372,16918,17231,17534
"Developing economies excluding China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48595,49556,51464,52314,53881,55156,56906,57862,58617,60331,61700,63059,64870,66904,69216,71410
"Developing economies excluding LDCs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46431,47432,49264,50317,52061,53234,55387,57551,58554,60330,62214,64445,66754,69234,70775,72352
"LDCs (Least developed countries)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5665,5636,5974,5994,5997,6103,6000,6149,6349,6709,6947,7408,8093,8592,9273,9982
"LDCs: Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3787,3944,4267,4326,4381,4496,4643,4806,5022,5300,5541,5934,6530,6993,7504,8001
"LDCs: Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,1124,1130,1089,1033,1026,790,758,765,822,823,868,899,903,923,931
"LDCs: Islands and Haiti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,568,577,579,583,581,567,585,562,587,583,606,664,696,846,1050
"LLDCs (Landlocked developing countries)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,929,1010,1046,1116,1128,1070,1045,1080,1098,1115,1096,1052,1063,1094,1111
"SIDS (Small island developing States) (UN-OHRLLS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11887,12253,12517,12471,13005,13535,13755,13894,13781,13926,13981,14263,14425,14830,15437,16261
"SIDS: Atlantic and Indian Ocean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,607,589,527,525,543,537,556,550,583,608,609,638,672,881,1085
"SIDS: Caribbean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5659,5558,5426,5230,5130,5104,4960,4820,4754,4677,4668,4732,4712,4830,5249,5351
"SIDS: Pacific",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5565,6088,6502,6714,7350,7888,8258,8518,8477,8666,8705,8922,9075,9328,9307,9825
"BRICS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15195,15690,16979,18014,18902,19165,20923,22767,23647,24818,26121,28072,30006,31729,32554,33716
"European Union (2020 …)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11459,11863,11543,11509,11614,11772,11848,11905,11885,12068,12092,12033,11876,11635,11909,12155
"G20 (Group of Twenty)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31731,32250,33377,34149,35113,35498,36836,38679,39590,41129,42084,43935,45741,47300,48182,49455
"G-77 (Group of 77)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47198,47985,49898,50872,52444,53525,55392,57532,58698,60777,62906,65610,68576,71369,73504,75992
"OECD (Organisation for Economic Cooperation and Development)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25071,25317,25061,24870,24998,25205,24934,24958,25020,25751,25516,25578,25499,25301,25506,25786
