Economy_Label,1980_Dead_weight_tons_in_thousands_Value,1981_Dead_weight_tons_in_thousands_Value,1982_Dead_weight_tons_in_thousands_Value,1983_Dead_weight_tons_in_thousands_Value,1984_Dead_weight_tons_in_thousands_Value,1985_Dead_weight_tons_in_thousands_Value,1986_Dead_weight_tons_in_thousands_Value,1987_Dead_weight_tons_in_thousands_Value,1988_Dead_weight_tons_in_thousands_Value,1989_Dead_weight_tons_in_thousands_Value,1990_Dead_weight_tons_in_thousands_Value,1991_Dead_weight_tons_in_thousands_Value,1992_Dead_weight_tons_in_thousands_Value,1993_Dead_weight_tons_in_thousands_Value,1994_Dead_weight_tons_in_thousands_Value,1995_Dead_weight_tons_in_thousands_Value,1996_Dead_weight_tons_in_thousands_Value,1997_Dead_weight_tons_in_thousands_Value,1998_Dead_weight_tons_in_thousands_Value,1999_Dead_weight_tons_in_thousands_Value,2000_Dead_weight_tons_in_thousands_Value,2001_Dead_weight_tons_in_thousands_Value,2002_Dead_weight_tons_in_thousands_Value,2003_Dead_weight_tons_in_thousands_Value,2004_Dead_weight_tons_in_thousands_Value,2005_Dead_weight_tons_in_thousands_Value,2006_Dead_weight_tons_in_thousands_Value,2007_Dead_weight_tons_in_thousands_Value,2008_Dead_weight_tons_in_thousands_Value,2009_Dead_weight_tons_in_thousands_Value,2010_Dead_weight_tons_in_thousands_Value,2011_Dead_weight_tons_in_thousands_Value,2012_Dead_weight_tons_in_thousands_Value,2013_Dead_weight_tons_in_thousands_Value,2014_Dead_weight_tons_in_thousands_Value,2015_Dead_weight_tons_in_thousands_Value,2016_Dead_weight_tons_in_thousands_Value,2017_Dead_weight_tons_in_thousands_Value,2018_Dead_weight_tons_in_thousands_Value,2019_Dead_weight_tons_in_thousands_Value,2020_Dead_weight_tons_in_thousands_Value,2021_Dead_weight_tons_in_thousands_Value,2022_Dead_weight_tons_in_thousands_Value,2023_Dead_weight_tons_in_thousands_Value,2024_Dead_weight_tons_in_thousands_Value,2025_Dead_weight_tons_in_thousands_Value,2026_Dead_weight_tons_in_thousands_Value
"World",672192,679755,686055,690098,681565,668145,654332,632238,625046,620734,629976,651282,674421,683639,699745,719216,731870,755298,772801,785331,793771,802771,822011,841735,863667,907474,965006,1042328,1117779,1192317,1276137,1418377,1537483,1634029,1694518,1753091,1811214,1868251,1937777,1989924,2073311,2138844,2206295,2283273,2363141,2443569,2528788
"Africa",167909,165985,155707,147478,141796,129956,122081,109764,105865,102174,97139,106851,102106,105518,100305,102952,104833,105438,105173,104467,91553,86383,84532,82428,87865,89245,98563,111189,123876,133021,150732,191415,201382,223501,229208,229778,236840,234604,241566,261205,294396,325659,366408,412755,447619,473716,526090
"Americas",78121,84072,90486,101618,108096,115840,119464,130503,138214,142196,151271,143613,165908,174061,182940,189582,202736,224402,246320,261570,274918,292090,289871,291261,291839,301526,323177,352947,379285,404314,421891,462428,475701,489287,477119,476127,477749,488768,478861,475996,469606,482979,487562,504911,520956,537244,515803
"Asia",131468,135572,144238,154365,164924,171993,180488,188813,198592,194544,190937,192415,194099,197774,204762,214875,217898,222433,217908,215308,217410,215774,215158,226170,233504,254953,269740,284920,299592,314716,336595,372953,420150,462186,505067,532975,554290,569944,607511,633431,676435,685346,694133,707560,730674,749894,772183
"Europe",291763,291277,292544,283366,263246,246421,228425,198663,177083,176135,184809,200831,204650,198817,204360,204575,199555,196467,197293,198471,204939,204387,206002,211201,214533,214503,219414,228592,243489,259640,275349,271485,305086,305194,315205,321220,328626,341993,356816,359131,355850,352920,348033,336968,328108,346189,358712
"Oceania",2931,2848,3080,3272,3503,3936,3874,4494,5292,5686,5820,7572,7658,7469,7377,7232,6849,6558,6107,5515,4950,4137,26449,30675,35927,47247,54100,59994,66471,76009,85960,116156,130178,149129,163500,188435,209186,228081,250361,257430,273573,287508,304164,314155,327965,324024,334378
"Individual economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia and Oceania",134399,138421,147317,157637,168427,175929,184362,193307,203884,200230,196757,199987,201757,205243,212140,222107,224747,228991,224015,220823,222360,219911,241606,256845,269431,302200,323840,344914,366062,390725,422554,489109,550328,611316,668567,721409,763476,798026,857872,890861,950008,972854,998297,1021715,1058639,1073918,1106562
"Northern America and Europe",316798,317442,317337,308424,289482,272272,254062,224547,204412,207183,216144,234366,235160,228071,233316,231642,226261,225958,230743,232521,242102,243618,227406,230813,235760,235964,242819,253600,268669,285319,301649,300373,332823,333739,341424,347570,354469,368258,383308,384447,379766,376798,371718,360110,351259,369454,383006
"Europe, Northern America, Australia and New Zealand",319481,320129,320246,311520,292766,275831,257490,228546,208485,211210,220150,238398,239251,232303,237641,236119,230545,230212,234789,235794,245121,246141,229892,233200,238202,238513,245278,256010,271175,287826,304147,302665,334808,335630,343369,349673,356584,370359,385799,387103,382393,379600,374522,362834,353977,371970,385375
