Port_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value,Q4 2025_Index_Average_Q1_2023__100_Value,Q1 2026_Index_Average_Q1_2023__100_Value,Q2 2026_Index_Average_Q1_2023__100_Value
"Albania, Durres",,,,10.34,11.15,11.15,10.32,10.61,15.18,15.3,27.32,30.88,30.59,26.78,30.03,21.75,27.38,22.18,22.18,22.19,22.83,30.59,27.35,26.25,26.25,38.56,35.77,25.05,32.24,33.2,39.07,28.67,35.34,25.79,35.73,36.36,35.85,37.13,37.04,37.01,37.08,31.13,41.82,42.48,45.63,37.53,34.46,33.84,33.81,18.31,29.89,33.49,34.35,33.13,42.23,41.59,37.27,37.24,30.24,30.24,30.7,30.7,32.79,32.77,28.87,26.5,27.14,26.93,26.3,25.7,25.7,28.08,27.37,27.37,34.81,27.37,31.64,31.58,31.58,26.13,26.12,33.04
"Algeria, Algiers",114.73,126.62,127.52,134.31,123.27,126.86,124.71,126.91,126.62,127.47,136.29,135.2,132.9,138.61,122.34,126.59,128.71,128.9,123.59,128.16,117.82,116.83,112.77,125.25,116.78,112.82,113.68,111.13,92.37,113.1,117.53,99.03,109.81,122.48,128.11,126.99,133.69,124.73,125.84,126.21,132.02,142.42,134.91,140.99,135.69,144.47,145.74,148.16,148.68,147.94,142.8,132.65,124.42,128.69,131.23,144.52,133.47,132.4,132.77,137.4,133.26,121.97,125.29,122.55,121.81,111.78,125.12,125.98,125.34,127.25,125.33,131.8,132.13,128.51,129.31,120.94,114.78,107.87,118.49,118.2,132.34,132.24
"Algeria, Annaba",44.48,52.74,52.74,41.28,40.62,44.72,48.34,48.21,40.5,28.74,19.23,25.62,32.36,27.07,29.89,30.52,36.86,29.93,35.84,54.08,47.03,38.16,33.77,26.97,26.97,35.64,35.64,35.66,37.27,30.12,33.87,32.88,30.89,32.92,32.88,30.65,30.87,35.01,39.93,39.93,32.71,32.87,32.87,39.15,38.39,38.48,38.36,50.51,50.47,52.67,54.29,53.09,45.04,51.77,54.59,56.74,48.24,56.57,56.87,57.1,57.1,57.07,55.92,55.47,50.95,48.19,52.35,52.35,52.32,52.97,54.41,54.21,55.97,55.96,57.89,51.58,57.68,57.71,58.33,58.33,56.39,55.72
"Algeria, Arzew",9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54,11.63,11.63,11.65,11.66,13.37,13.9,13.9,13.9,13.9,14.53,21.48,22.11,22.11,22.11,22.11,12.26,12.43,,10.35,,,,,,,,,,,,,,,,9.83,9.83,9.83,9.83,9.83,,
"Algeria, Bejaia",58.08,60.86,56.83,52.88,48.38,52.49,47.75,53.48,56.56,48.78,41.51,46.45,46.45,40.42,42.12,42.11,48.24,38.17,49.43,44.21,49.48,49.44,43.27,36.48,30.73,36.06,41.87,43.5,58.41,65.12,66.21,55.8,55.17,51.73,48.81,44.29,42.86,35.7,35.7,38.54,38.14,38.9,38.88,41.74,37.17,37.17,36.94,49.4,49.25,58.96,58.31,54.95,51.53,52.16,51.51,51.95,53.47,45.18,48.86,48.64,49.39,49.35,48.84,47.46,47.44,47.04,53.17,54.34,57.7,54.95,42.46,41.88,41.94,42.62,42.98,42.99,43.02,45.26,44.87,43.74,44.65,44.64
"Algeria, Djen Djen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84,21.71,21.71,21.08,21.53,21.53,21.53,12.45,12.45,12.45,,,,,,,,,,,10.32,10.32,10.32,10.32,10.32,,,,,,,,,,,,,,,15.32,17.55,,13.34,18.8,18.72,18.68,11.56,11.56,11.56,11.48,11.48
"Algeria, Ghazaouet",,,,,,,16.19,12.87,12.87,15.67,11.03,13.43,13.43,7.53,7.53,7.53,7.53,7.53,,13.99,13.99,13.99,8.41,9.05,11.8,18.92,18.92,18.92,17.78,10.89,10.85,10.89,10.44,10.89,10.89,11.55,11.55,11.55,11.5,18.64,18.67,18.67,16.6,19.52,19.28,19.28,21.99,21.87,21.87,21.87,14.09,14.05,,,14.09,14.02,13.46,13.46,12.77,13.52,21.09,21.09,13.45,15.87,15.26,15.26,15.24,15.24,13.56,13.45,13.24,13.24,10.72,10.72,10.72,10.72,10.72,10.72,10.72,9.34,9.34,10.94
"Algeria, Mostaganem",48.12,48.12,48.12,47.32,26.51,26.48,27.69,26.48,34.3,32.03,24.3,20.57,20.57,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.37,12.37,12.37,12.37,,,,,,,,,,,10.04,10.04,10.04,10.04,10.04,10.04,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,,11.79,11.79,11.79,18.27,28.14,18.27,18.27,20.01,20.01,9.92,9.92,19.68,19.61,19.73,19.09,24.23,19.09,19.09,19.09,19.09,19.09,19.09,19.07
"Algeria, Oran",79.67,74.51,81.82,82.45,79.29,84.47,78.96,78.45,79,93.56,84.88,87.1,84,68.52,74.73,69.75,77.1,71.4,67.65,65.09,75.09,85.34,64.67,64.67,65.67,74.22,68.61,68.9,72.4,68.96,64.71,64.75,63.65,58.41,69.81,62.79,77.18,90.75,83.78,77.82,85.83,88.61,94.58,87.56,86.36,68.8,55.12,57.26,57.47,56.36,56.45,65.11,65.09,65.11,63.97,64,54.52,54.52,55.33,55.29,57.17,57.13,53.73,52.7,51.33,33.26,33.26,45.33,38.87,38.87,52.3,43.37,42.84,55.35,51.09,50.33,52.91,52.86,52.86,52.86,52.85,53.53
"Algeria, Skikda",61.83,77.09,73.07,82.31,75.58,79.02,64.33,74.14,70.58,59,51.41,52.01,55.52,51.11,53.92,53.92,64.88,56.85,77.74,73.64,70.67,66.61,61.43,54.14,43.54,43.12,49.08,43.28,45.96,42.59,49.86,48.73,48.88,52.16,46.87,44.95,45.16,47.87,47.55,47.55,47.26,44.1,43.88,44.55,38.61,38.61,54.02,54.25,54.25,54.26,53.51,47.56,46.19,59.12,58.1,58.11,57.52,57.47,67,56.5,43.96,43.93,50.4,49.91,49.95,55.68,65.97,65.85,60.11,68.12,64.95,66.03,64.76,62.21,66.6,62.8,62.84,60.64,59.44,59.5,54.43,53.75
