Economy_Label,1948_US_at_current_prices_in_millions_Value,1949_US_at_current_prices_in_millions_Value,1950_US_at_current_prices_in_millions_Value,1951_US_at_current_prices_in_millions_Value,1952_US_at_current_prices_in_millions_Value,1953_US_at_current_prices_in_millions_Value,1954_US_at_current_prices_in_millions_Value,1955_US_at_current_prices_in_millions_Value,1956_US_at_current_prices_in_millions_Value,1957_US_at_current_prices_in_millions_Value,1958_US_at_current_prices_in_millions_Value,1959_US_at_current_prices_in_millions_Value,1960_US_at_current_prices_in_millions_Value,1961_US_at_current_prices_in_millions_Value,1962_US_at_current_prices_in_millions_Value,1963_US_at_current_prices_in_millions_Value,1964_US_at_current_prices_in_millions_Value,1965_US_at_current_prices_in_millions_Value,1966_US_at_current_prices_in_millions_Value,1967_US_at_current_prices_in_millions_Value,1968_US_at_current_prices_in_millions_Value,1969_US_at_current_prices_in_millions_Value,1970_US_at_current_prices_in_millions_Value,1971_US_at_current_prices_in_millions_Value,1972_US_at_current_prices_in_millions_Value,1973_US_at_current_prices_in_millions_Value,1974_US_at_current_prices_in_millions_Value,1975_US_at_current_prices_in_millions_Value,1976_US_at_current_prices_in_millions_Value,1977_US_at_current_prices_in_millions_Value,1978_US_at_current_prices_in_millions_Value,1979_US_at_current_prices_in_millions_Value,1980_US_at_current_prices_in_millions_Value,1981_US_at_current_prices_in_millions_Value,1982_US_at_current_prices_in_millions_Value,1983_US_at_current_prices_in_millions_Value,1984_US_at_current_prices_in_millions_Value,1985_US_at_current_prices_in_millions_Value,1986_US_at_current_prices_in_millions_Value,1987_US_at_current_prices_in_millions_Value,1988_US_at_current_prices_in_millions_Value,1989_US_at_current_prices_in_millions_Value,1990_US_at_current_prices_in_millions_Value,1991_US_at_current_prices_in_millions_Value,1992_US_at_current_prices_in_millions_Value,1993_US_at_current_prices_in_millions_Value,1994_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_in_millions_Value,2025_US_at_current_prices_in_millions_Value
"World",58662,58654,61862,82876,79801,80773,85184,94012,104228,113386,109363,117961,130343,136297,143435,156901,175273,189903,207240,218878,243021,277313,318276,354857,419985,582084,842702,877301,993853,1131232,1310763,1664428,2050522,2027785,1897887,1857898,1968129,1965697,2141453,2520515,2875090,3103071,3497003,3517340,3787559,3782439,4321806,5176671,5411285,5599647,5509848,5723003,6449894,6192835,6497515,7585928,9218263,10512045,12135957,14030960,16170179,12577859,15299274,18336081,18507209,18945303,19012747,16565155,16049542,17737663,19547191,19008048,17647831,22289989,24915251,23902666,24501296,26257321
"Africa",4374,4295,4452,5554,5491,5520,5909,6247,6630,6837,6578,6971,7372,7333,7468,9134,9981,10336,11121,11555,13142,14816,16180,17413,19654,27942,48511,44379,50829,59676,59687,87324,121508,100056,85240,82007,82507,83635,69138,78956,81129,89769,105716,99476,97357,91745,95902,111437,125455,126944,105170,116443,145190,136409,142499,175179,233964,301599,359385,425011,548224,387233,522313,618205,641228,600754,581832,414487,379944,436797,513150,481383,396301,560444,662286,619010,628002,689185
"Americas",23082,21318,20230,26566,25922,25417,25858,28026,32354,35180,31292,31522,35263,36310,37615,40174,45618,47520,52246,55495,61098,67135,77486,79241,89928,125979,181718,188459,209198,226793,259001,329404,405294,432882,396729,391256,432964,419720,412826,458993,562317,622308,667869,694188,735735,772814,868602,1008690,1087346,1194284,1182404,1239690,1426842,1342453,1302878,1388741,1613239,1848376,2114055,2355442,2651280,2076540,2556613,3043338,3120470,3146869,3175786,2830463,2726013,2957386,3193943,3142424,2767578,3474512,4083157,3986347,4092014,4290704
"Asia",7291,7206,10237,14060,11528,11374,12173,13954,15344,16028,16545,18555,19086,18900,19883,21736,24276,27453,30431,31613,35390,41033,47007,58704,69855,99863,188154,181129,221529,255945,289753,374482,509701,538569,482582,461436,502689,494761,516734,622954,726319,801445,890407,967985,1081969,1161881,1328637,1562218,1607264,1694408,1562970,1704335,2068214,1883011,2032179,2421829,3040691,3591672,4238951,4928875,5798263,4612565,5953812,7204714,7485645,7647996,7719679,6861476,6559755,7288946,8050051,7811013,7449691,9542258,10578240,9955703,10489498,11359339
"Central Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7307,7689,8756,11719,13091,12871,10563,11446,15431,15173,16257,21126,29877,39123,53313,67505,96679,61614,81117,113826,117412,116719,111334,67731,55095,68803,84493,86021,69401,89053,117816,119760,124233,123350
"Eastern Asia",1223,1070,2124,3000,2744,2944,3322,4012,4862,5773,6299,7388,7522,7122,7891,8797,10510,12801,14593,15344,18343,22307,26446,32766,40827,55668,78634,79915,98791,117835,145281,162580,208133,241293,228466,243843,286755,298577,355782,424118,501174,532551,568541,637694,706258,760516,863088,1007301,993258,1055080,994545,1059290,1258590,1140646,1245689,1487131,1865780,2136743,2493419,2908451,3266580,2683819,3495528,4050001,4203829,4339470,4461190,4231136,4044245,4411860,4742835,4622248,4648754,5844990,6076922,5751904,6104141,6632171
"South-eastern Asia",2583,2502,3744,5384,4015,3546,3582,4180,4234,4274,3839,4442,4658,4501,4244,4503,4404,4663,4893,4826,5170,5911,6356,6930,8190,13918,23863,22292,27921,34259,39424,54442,71915,72619,71806,72770,79360,72500,67624,84245,105830,123862,144148,165586,185465,212329,262142,321409,340732,355858,331065,362278,430203,387046,407366,474761,569044,656582,769799,865121,989751,813796,1050067,1239483,1253715,1269996,1296864,1167102,1144036,1316372,1446018,1423333,1386144,1724718,1959974,1818171,1941987,2191660
"Southern Asia",2637,2579,2993,3823,2567,2409,2525,2945,3330,3036,2883,3081,3147,3372,3426,3776,4311,4464,4831,5175,4897,5253,5870,7185,6195,7619,14691,14583,17034,18433,18674,20805,26137,25751,34828,36370,32291,29158,22798,30594,31947,37040,47033,47177,52046,52666,58298,64980,73855,72338,65816,76187,93119,90205,99161,117849,147227,189230,236331,279147,354973,285581,378956,497279,466433,472324,486631,405322,405098,463142,505373,467531,391528,555636,649714,616637,651242,655278
"Western Asia",849,1055,1376,1854,2202,2475,2745,2816,2917,2945,3524,3644,3759,3905,4322,4659,5051,5526,6114,6268,6980,7562,8335,11823,14642,22658,70966,64339,77782,85418,86374,136655,203515,198906,147481,108453,104282,94526,70531,83997,87368,107993,130686,117527,130893,128681,136352,156808,186327,198262,160982,195134,270872,249942,263706,320961,428762,569995,686089,808650,1090281,767755,948143,1304125,1444255,1449488,1363660,990186,911281,1028769,1271331,1211881,953864,1327861,1773815,1649232,1667895,1756880
"Europe",21674,23637,24689,33875,34352,35664,38756,43123,47071,52159,52413,57912,65540,70419,75144,81931,91022,100333,108925,115456,128501,148498,171025,192302,231497,315134,409485,448056,495092,570803,682686,847920,984403,927091,904500,895935,919327,937320,1112267,1323458,1460250,1540304,1781086,1701271,1816509,1698347,1964115,2422431,2511257,2501715,2586598,2588988,2727309,2749310,2936205,3507834,4217358,4635860,5269963,6144437,6945361,5315187,6013427,7149491,6955480,7247608,7240789,6224931,6145822,6771517,7478400,7247772,6732219,8308434,9114284,8911312,8890772,9514192
