Economy_Label,1948_US_at_current_prices_in_millions_Value,1949_US_at_current_prices_in_millions_Value,1950_US_at_current_prices_in_millions_Value,1951_US_at_current_prices_in_millions_Value,1952_US_at_current_prices_in_millions_Value,1953_US_at_current_prices_in_millions_Value,1954_US_at_current_prices_in_millions_Value,1955_US_at_current_prices_in_millions_Value,1956_US_at_current_prices_in_millions_Value,1957_US_at_current_prices_in_millions_Value,1958_US_at_current_prices_in_millions_Value,1959_US_at_current_prices_in_millions_Value,1960_US_at_current_prices_in_millions_Value,1961_US_at_current_prices_in_millions_Value,1962_US_at_current_prices_in_millions_Value,1963_US_at_current_prices_in_millions_Value,1964_US_at_current_prices_in_millions_Value,1965_US_at_current_prices_in_millions_Value,1966_US_at_current_prices_in_millions_Value,1967_US_at_current_prices_in_millions_Value,1968_US_at_current_prices_in_millions_Value,1969_US_at_current_prices_in_millions_Value,1970_US_at_current_prices_in_millions_Value,1971_US_at_current_prices_in_millions_Value,1972_US_at_current_prices_in_millions_Value,1973_US_at_current_prices_in_millions_Value,1974_US_at_current_prices_in_millions_Value,1975_US_at_current_prices_in_millions_Value,1976_US_at_current_prices_in_millions_Value,1977_US_at_current_prices_in_millions_Value,1978_US_at_current_prices_in_millions_Value,1979_US_at_current_prices_in_millions_Value,1980_US_at_current_prices_in_millions_Value,1981_US_at_current_prices_in_millions_Value,1982_US_at_current_prices_in_millions_Value,1983_US_at_current_prices_in_millions_Value,1984_US_at_current_prices_in_millions_Value,1985_US_at_current_prices_in_millions_Value,1986_US_at_current_prices_in_millions_Value,1987_US_at_current_prices_in_millions_Value,1988_US_at_current_prices_in_millions_Value,1989_US_at_current_prices_in_millions_Value,1990_US_at_current_prices_in_millions_Value,1991_US_at_current_prices_in_millions_Value,1992_US_at_current_prices_in_millions_Value,1993_US_at_current_prices_in_millions_Value,1994_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_in_millions_Value,2025_US_at_current_prices_in_millions_Value
"World",62369,62281,64029,88610,88126,85460,89403,99731,109869,121709,115580,123751,137925,143459,151544,164840,184281,199742,218637,229018,253340,287789,330904,367158,433699,596858,862556,912015,1028544,1172974,1363123,1702144,2093671,2084456,1957343,1903115,2028149,2029096,2215521,2593512,2977851,3217216,3616248,3644265,3916269,3850766,4387990,5241978,5496666,5685552,5633004,5857789,6652863,6410067,6662108,7778802,9476842,10797252,12379818,14259986,16517743,12752740,15435497,18444584,18666162,18974542,19070912,16726094,16203550,17967174,19808697,19323221,17874104,22572793,25674035,24298956,24833028,26607603
"Africa",5034,5071,4509,6125,6398,5948,6442,7056,7308,8063,8017,7724,8551,8412,7785,8757,9702,10478,10568,10890,11345,12416,14699,16847,17457,23340,35716,45595,45713,55034,66076,68287,97378,110958,96417,86447,82805,75131,75264,84553,100671,98474,97230,94641,100578,96665,104975,126355,126243,131787,133130,128209,128137,132567,134283,164244,210103,254783,301820,377482,481589,416853,491801,571752,623349,651140,655909,566958,508022,524505,591073,589748,491447,616240,739815,717898,721116,788936
"Americas",17945,16878,19142,25227,25194,24478,24279,26690,29794,32031,30676,32994,32730,32832,35132,36148,39580,43850,50979,53313,62601,68790,75378,85743,101876,128593,197304,199082,232471,268640,306256,369921,445798,478162,422899,421659,514140,519319,557289,615629,683516,733083,770450,780827,859120,934853,1069792,1192769,1275166,1429562,1497097,1615175,1894047,1787563,1784633,1917967,2256353,2594864,2918993,3173486,3520423,2633264,3271614,3830982,3944312,3976390,4051039,3780643,3602154,3879006,4218608,4123340,3747764,4712633,5502741,5197784,5432693,5678795
"Asia",8366,9301,9216,13870,13877,13345,13111,14511,16266,19007,17014,18773,21264,22152,21941,24216,27061,28697,32140,34682,37327,42131,48839,52997,63348,96943,153890,164691,186027,218181,256669,329215,431042,472337,458717,452975,470695,453378,449378,530634,662333,740212,829942,913459,1006141,1092174,1233291,1507140,1600799,1627125,1380617,1486458,1827704,1713764,1822648,2172435,2761272,3224708,3729090,4322635,5248853,4206727,5462137,6708058,7021037,7203066,7203676,6246395,5942386,6751236,7506822,7308427,6821769,8809718,9799540,9200546,9603486,10254218
"Central Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7921,8110,8497,9254,11774,11175,10135,9519,10756,12665,12437,15181,21626,26398,34271,47958,60111,49841,51376,62445,77445,82164,75250,56533,48349,53142,60668,70950,67247,78848,97581,119064,118289,132245
"Eastern Asia",1826,1767,2412,4291,4245,5013,4785,5405,6181,7891,6968,7903,8812,9272,8938,10448,12025,13052,15160,17497,19532,22498,27642,29549,35714,57450,90487,85946,96937,108465,130719,178063,228569,241193,221726,221998,250124,258854,267043,325539,419803,465805,503457,554224,599268,651855,748094,906550,946556,957239,809743,891425,1124625,1049001,1111383,1341978,1689771,1928248,2227961,2535806,2976861,2417577,3220561,3934465,4075189,4219350,4201703,3579394,3395074,3860115,4352045,4187956,4044539,5184635,5468679,5028600,5093703,5326202
"South-eastern Asia",2936,2982,2980,4570,4307,3881,3707,4051,4379,4739,4040,4092,4619,5104,4691,4819,5002,5297,5455,6100,6653,7386,8179,9203,10544,15217,23879,25180,27746,32055,38274,49002,65640,73469,77193,78886,76384,66567,64918,82042,106702,129458,162346,183991,200916,231048,281233,355311,375901,381849,287187,310188,380640,346992,366669,411918,513771,602840,687813,775105,939033,727246,953358,1154983,1224384,1242854,1245125,1098393,1079286,1259448,1425195,1388934,1270320,1623453,1877436,1715952,1871568,2093620
"Southern Asia",2268,3028,2216,3079,3128,2292,2409,2508,3055,3614,3348,3807,4654,4353,4591,4977,5766,5747,6426,6170,5613,5788,5897,5949,7087,9416,14943,21585,22833,25673,28386,28139,38359,41644,37969,43352,43119,39623,37720,38574,42244,49930,59408,64704,67482,63337,60743,74029,81284,83108,82235,87730,94762,96036,107523,132074,174877,236876,281881,344564,467115,380733,507009,641515,662134,629471,644385,561550,534127,651785,730749,680235,545787,820599,979526,894151,954723,999619
"Western Asia",1336,1523,1608,1930,2196,2159,2211,2547,2651,2764,2659,2971,3179,3423,3721,3972,4268,4602,5099,4915,5529,6458,7122,8296,10003,14860,24582,31980,38511,51988,59290,74011,98474,116031,121830,108739,101068,88334,79698,84479,93584,95019,104732,110540,130554,137824,134724,161996,185284,193754,191317,187596,216921,209070,224635,271283,361228,430346,497164,619200,805733,631329,729833,914650,981885,1029227,1037213,950526,885550,926746,938166,980352,893876,1102183,1376317,1442779,1565203,1702532
"Europe",29149,29007,29058,40323,39781,39569,42887,48361,53626,59645,56829,61331,71714,76559,83149,91757,103272,111428,119705,124693,136156,158248,184741,203931,243335,337044,458179,486786,547049,612184,712683,909206,1088225,987495,943702,912113,925094,946145,1097874,1322289,1483745,1586929,1862043,1799839,1892021,1666759,1908754,2334321,2407589,2410096,2539006,2538393,2711347,2692733,2826075,3408021,4107206,4561275,5252759,6177239,7017373,5292701,5963383,7037157,6762201,6845061,6863626,5874081,5906124,6529515,7196982,7020987,6550616,8107389,9248893,8825637,8714484,9509377
"Oceania",1875,2025,2104,3065,2876,2120,2684,3114,2875,2963,3043,2929,3667,3505,3538,3962,4666,5288,5246,5439,5911,6205,7248,7641,7684,10938,17467,15861,17286,18935,21439,25514,31229,35504,35608,29921,35416,35123,35716,40407,47585,58518,56582,55500,58409,60315,71179,81393,86869,86983,83153,89555,91629,83440,94470,116135,141908,161622,177157,209144,249506,203196,246562,296635,315262,298885,296662,258017,244863,282912,295213,280719,262507,326812,383046,357090,361249,376278
"Individual economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
